City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,henties bay,-22.116,14.2845,16.710000000000036,89,9,1.96,NA,1667863115
237,miguel calmon,-11.4289,-40.595,21.710000000000036,71,94,2.51,BR,1667863116
238,arenapolis,-14.4503,-56.8461,26.230000000000018,32,0,1.25,BR,1667863116
239,miri,4.4148,114.0089,25.08000000000004,94,40,1.03,MY,1667863117
240,nianzishan,47.5167,122.8833,-1.4099999999999682,60,76,1.18,CN,1667863117
241,avarua,-21.2078,-159.775,25.03000000000003,69,75,3.6,CK,1667863117
242,bow island,49.8668,-111.3684,-9.439999999999998,96,100,2.68,CA,1667862902
243,san patricio,28.017,-97.5169,28.400000000000034,70,3,5.1,US,1667863064
244,airai,-8.9266,125.4092,19.220000000000027,75,100,0.06,TL,1667863118
245,saint-augustin,51.226,-58.6502,10.020000000000039,91,74,7.98,CA,1667863119
246,kavaratti,10.5669,72.642,27.340000000000032,74,36,2.96,IN,1667863119
247,kaeo,-35.1,173.7833,16.850000000000023,94,100,6.99,NZ,1667863120
248,vuktyl,63.8567,57.3094,-2.319999999999993,96,100,3.69,RU,1667863120
249,revelstoke,50.9832,-118.2023,-2.9899999999999523,80,100,2.06,CA,1667863120
250,stephenville,32.2207,-98.2023,24.53000000000003,81,100,3.09,US,1667862920
251,kaoma,-14.7833,24.8,16.900000000000034,92,96,1.8,ZM,1667863121
252,razdolinsk,58.4211,94.6658,-8.859999999999957,98,98,1.91,RU,1667863121
253,velikiy ustyug,60.7644,46.3106,1.660000000000025,95,100,4.49,RU,1667863121
254,havre-saint-pierre,50.2334,-63.5986,6.2000000000000455,87,0,10.29,CA,1667863122
255,manicore,-5.8092,-61.3003,24.970000000000027,88,0,1.03,BR,1667863122
256,purpe,64.4803,76.6897,-8.449999999999989,94,100,4.55,RU,1667863123
257,mount gambier,-37.8333,140.7667,21.420000000000016,59,0,3.45,AU,1667863123
258,mackay,-21.15,149.2,25.930000000000007,60,1,6.14,AU,1667862935
259,loei,17.4167,101.5,15.07000000000005,91,1,0.3,TH,1667863124
260,lago da pedra,-4.3333,-45.1667,25.27000000000004,82,74,1.9,BR,1667863124
261,viseu,40.661,-7.9097,14.300000000000011,95,94,2.61,PT,1667863124
262,dumai,1.6833,101.45,22.83000000000004,98,97,0.73,ID,1667863125
263,erdenet,49.0333,104.0833,-1.1999999999999886,49,24,2.5,MN,1667863125
264,schlieren,47.3967,8.4476,9.57000000000005,86,33,0.51,CH,1667863125
265,nome,64.5011,-165.4064,-0.9599999999999795,100,100,14.4,US,1667863044
266,sciacca,37.5082,13.0881,15.57000000000005,71,2,2.13,IT,1667863126
267,akdepe,42.0551,59.3788,4.050000000000011,80,84,5.39,TM,1667863127
268,ostrovnoy,68.0531,39.5131,-0.7999999999999545,94,97,2.02,RU,1667863127
269,manado,1.487,124.8455,25.430000000000007,94,40,1.54,ID,1667863127
270,forestville,38.8451,-76.875,22.010000000000048,46,0,4.63,US,1667863128
271,el dorado,38.7666,-120.5177,9.29000000000002,77,100,0.89,US,1667863128
272,dingle,10.9995,122.6711,25.930000000000007,90,62,2.37,PH,1667863128
273,manbij,36.5281,37.9549,13.110000000000014,85,100,2.4,SY,1667863128
274,iqaluit,63.7506,-68.5145,-6.279999999999973,57,75,7.15,CA,1667863129
275,mabaruma,8.2,-59.7833,23.350000000000023,98,100,1.55,GY,1667863129
276,mount isa,-20.7333,139.5,31.870000000000005,33,0,4.12,AU,1667863130
277,krasnovishersk,60.4078,57.082,-3.1399999999999864,98,100,1.68,RU,1667863130
278,golden,39.7555,-105.2211,14.810000000000002,45,40,2.57,US,1667862942
279,matoury,4.8483,-52.3317,24.980000000000018,94,0,0.0,GF,1667863131
280,bathsheba,13.2167,-59.5167,28.340000000000032,78,40,7.72,BB,1667863134
281,waingapu,-9.6567,120.2641,27.82000000000005,73,88,0.39,ID,1667863135
282,elk city,35.412,-99.4043,17.120000000000005,77,0,3.6,US,1667863135
283,maltahohe,-24.8333,16.9833,16.379999999999995,69,5,1.66,NA,1667863135
284,kastamonu,41.5,33.6667,9.260000000000048,75,84,0.95,TR,1667863136
285,caibarien,22.5206,-79.4669,25.620000000000005,74,2,7.57,CU,1667863136
286,sao filipe,14.8961,-24.4956,25.75,67,73,1.71,CV,1667863136
287,nombre de dios,23.85,-104.2333,27.75,16,0,2.86,MX,1667863137
288,karratha,-20.7377,116.8463,19.960000000000036,56,0,7.17,AU,1667863137
289,porecatu,-22.7558,-51.3792,19.950000000000045,54,26,2.32,BR,1667863137
290,port hedland,-20.3167,118.5667,23.03000000000003,49,4,8.23,AU,1667863138
291,xiaoweizhai,26.1903,107.5125,13.510000000000048,85,20,0.69,CN,1667863138
292,hakkari,37.5833,44.1667,0.8799999999999955,75,75,0.0,TR,1667863138
293,eyl,7.9803,49.8164,25.27000000000004,77,24,3.23,SO,1667863139
294,haverfordwest,51.8017,-4.9691,13.640000000000043,86,100,2.68,GB,1667863139
295,vidim,56.4088,103.1106,-5.889999999999986,87,85,4.23,RU,1667863139
296,salobrena,36.7428,-3.5872,19.150000000000034,65,1,2.23,ES,1667863140
297,esperance,-33.8667,121.9,14.910000000000025,81,100,7.03,AU,1667863140
298,gobabis,-22.45,18.9667,17.710000000000036,62,2,2.38,NA,1667863140
299,sol-iletsk,51.1631,54.9918,-7.289999999999964,98,97,1.76,RU,1667863042
300,belle fourche,44.6714,-103.8522,10.730000000000018,34,100,9.9,US,1667863141
301,general roca,-39.0333,-67.5833,27.07000000000005,33,53,3.96,AR,1667863141
302,touba,8.2833,-7.6833,23.370000000000005,73,51,0.53,CI,1667863141
303,moose factory,51.2585,-80.6094,0.0,80,75,8.23,CA,1667863142
304,kristiansund,63.1115,7.732,6.360000000000014,75,100,2.06,NO,1667863143
305,isiolo,0.3546,37.5822,20.200000000000045,75,88,2.48,KE,1667863144
306,escanaba,45.7453,-87.0646,5.170000000000016,67,100,0.0,US,1667863144
